Image number,Dengue fever risk,Probability,Date/Time,Latitude,Longitude
0001,High risk,0.9375,2023-04-24 01:07:40.281379,49.039631348160526,73.15883417655397
0002,High risk,0.87890625,2023-04-24 01:07:48.510927,49.21290054824712,73.89003303393594
0003,High risk,0.9140625,2023-04-24 01:07:58.913562,49.42461109763847,74.82187700136535
0004,High risk,0.9765625,2023-04-24 01:08:07.933178,49.60146539779822,75.63650243716393
0005,Low risk,0.66015625,2023-04-24 01:08:17.742358,49.786628958580884,76.52932306042771
0006,High risk,0.62890625,2023-04-24 01:08:27.777243,49.96821137530727,77.44990933686577
0007,High risk,0.99609375,2023-04-24 01:08:38.968376,50.16123079232866,78.48493219187885
0008,High risk,0.99609375,2023-04-24 01:08:48.579645,50.318912319289744,79.38066313648798
0009,High risk,0.99609375,2023-04-24 01:08:58.580918,50.47494779152218,80.31915836225264
0010,High risk,0.99609375,2023-04-24 01:09:08.641283,50.623531626178725,81.2695547553793
0011,High risk,0.98828125,2023-04-24 01:09:18.608699,50.76236475159958,82.21717684698548
0012,High risk,0.99609375,2023-04-24 01:09:28.604055,50.893122916715434,83.17317515280288
0013,High risk,0.99609375,2023-04-24 01:09:38.950979,51.01946098611119,84.1685195911111
0014,High risk,0.99609375,2023-04-24 01:09:48.924237,51.132462965685605,85.13305514422309
0015,High risk,0.99609375,2023-04-24 01:09:58.960007,51.23740493392744,86.10841322901123
0016,High risk,0.97265625,2023-04-24 01:10:08.594695,51.329813597366744,87.04901340016062
0017,High risk,0.99609375,2023-04-24 01:10:18.730305,51.41813587838186,88.04255398162147
0018,High risk,0.83984375,2023-04-24 01:10:28.663390,51.49579246296827,89.01993805212204
0019,High risk,0.91796875,2023-04-24 01:10:38.671715,51.565069937696535,90.00804435145281
0020,High risk,0.80078125,2023-04-24 01:10:48.587135,51.624776680952586,90.98983612120264
0021,High risk,0.74609375,2023-04-24 01:10:58.738737,51.676659843433065,91.99762904716091
0022,Low risk,0.98828125,2023-04-24 01:11:08.673852,51.718338932540235,92.9860296896828
0023,Low risk,0.7265625,2023-04-24 01:11:18.627619,51.751043662484946,93.9780329815049
0024,Low risk,0.875,2023-04-24 01:11:28.688096,51.77486463656054,94.98195042263025
0025,Low risk,0.9921875,2023-04-24 01:11:38.632005,51.78927072553217,95.97513017347296
0026,Low risk,0.97265625,2023-04-24 01:11:48.623034,51.79458359515519,96.97346872121825
0027,High risk,0.6171875,2023-04-24 01:11:58.639188,51.7906882307172,97.97434270227878
0028,High risk,0.97265625,2023-04-24 01:12:08.649685,51.77757172102312,98.97431270453755
0029,High risk,0.9921875,2023-04-24 01:12:18.681926,51.75518646339479,99.97560258175628
0030,High risk,0.84765625,2023-04-24 01:12:28.716154,51.72355830379606,100.97589212770626
0031,Low risk,0.7578125,2023-04-24 01:12:38.648182,51.683178411226926,101.96432785106748
0032,Low risk,0.93359375,2023-04-24 01:12:48.752689,51.63285841147704,102.96791466089856
0033,Low risk,0.69140625,2023-04-24 01:12:58.716878,51.574152072607546,103.95507414355824
0034,Low risk,0.81640625,2023-04-24 01:13:09.021890,51.50399148579364,104.97300213074415
0035,No risk,0.71484375,2023-04-24 01:13:19.031174,51.42669610281143,105.95843011264188
0036,Low risk,0.9921875,2023-04-24 01:13:29.058669,51.34027781444001,106.94198495117458
0037,Low risk,0.703125,2023-04-24 01:13:39.107151,51.2447226415115,107.92352789858458
0038,Low risk,0.98046875,2023-04-24 01:13:49.112831,51.140723954522244,108.89656264760005
0039,No risk,0.8828125,2023-04-24 01:13:59.024230,51.02907999719572,109.85571796323096
0040,No risk,0.9921875,2023-04-24 01:14:09.142148,50.90632225055219,110.82977469484779
0041,No risk,0.79296875,2023-04-24 01:14:19.006230,50.77818244757502,111.77408916059723
0042,Low risk,0.5,2023-04-24 01:14:29.063352,50.63901794545947,112.73119780108085
0043,No risk,0.8046875,2023-04-24 01:14:39.058782,50.49227928017774,113.67643689930037
0044,No risk,0.7578125,2023-04-24 01:14:48.780946,50.34157846979484,114.58985206943066
0045,Low risk,0.609375,2023-04-24 01:14:59.033238,50.174242317557336,115.54641333301062
0046,No risk,0.81640625,2023-04-24 01:15:08.883423,50.00543735792728,116.45873122431398
0047,Low risk,0.48046875,2023-04-24 01:15:19.064416,49.822788713584764,117.39457866112477
0048,Low risk,0.58984375,2023-04-24 01:15:28.770143,49.64104000408026,118.2797659526354
0049,Low risk,0.828125,2023-04-24 01:15:39.096479,49.439608907702,119.21388642993996
0050,Low risk,0.953125,2023-04-24 01:15:49.099512,49.236673937190524,120.11103888980628
0051,Low risk,0.71875,2023-04-24 01:15:59.133410,49.02551425760538,121.00312699674299
0052,Low risk,0.96875,2023-04-24 01:16:09.107425,48.808185603727615,121.88198041814009
0053,Low risk,0.93359375,2023-04-24 01:16:19.107964,48.58295807400756,122.75512548994794
0054,No risk,0.5625,2023-04-24 01:16:29.130034,48.3500252722375,123.62189337422318
0055,Low risk,0.5390625,2023-04-24 01:16:39.099680,48.11124628841884,124.47587029935809
0056,Low risk,0.70703125,2023-04-24 01:16:48.810301,47.87203150269171,125.29958744677762
0057,Low risk,0.66015625,2023-04-24 01:16:59.149871,47.61021415006262,126.16793023762493
0058,Low risk,0.5859375,2023-04-24 01:17:08.805453,47.35924835934839,126.97052494004659
0059,Low risk,0.91015625,2023-04-24 01:17:18.858795,47.091417028840944,127.79764393734891
0060,Low risk,0.87109375,2023-04-24 01:17:28.958100,46.815775823131894,128.61974911685982
0061,Low risk,0.8046875,2023-04-24 01:17:38.970377,46.53612432073604,129.4260229675488
0062,Low risk,0.984375,2023-04-24 01:17:49.169079,46.24487511425441,130.23828760886755
0063,Low risk,0.71875,2023-04-24 01:17:59.170058,45.95309427744673,131.02606484340976
